Task Name,Task Status,Subtask Count,Rule Status,Estimated Hrs Remaining,Scope,Notes
Review Credit,completed,8,Complete,0,HELOC,
Send Disclosures (HELOC),completed,14,Complete,0,HELOC,
Notice of Incomplete,completed,3,Partial,4,HELOC,
Mailing Initial Disclosures,completed,1,Partial,2,HELOC,
Order Appraisal,completed,8,Partial,4,HELOC,
Order Title,completed,4,Partial,2,HELOC,
Order Flood Certificate,completed,1,Complete,0,HELOC,
ARM Disclosure,completed,2,Partial,3,RESI,
Credit Score Disclosure,completed,6,Partial,4,HELOC,
Withdraw Loan,completed,3,Partial,4,HELOC,
Send Denial,completed,4,Partial,6,HELOC,
File Closure Documents,completed,5,Partial,2,HELOC,
Cancel Flood Certificate,completed,1,Partial,2,HELOC,
Appraisal Refund,completed,4,Not Started,3,HELOC,
Order SSA-89,Partial,0,Not Started,2,HELOC,
Order Tax Transcripts,Partial,0,Not Started,4,RESI,
Order AVM,completed,4,Complete,0,HELOC,
Flood Certificate Review,completed,4,Complete,0,HELOC,
Order PAR,completed,1,Complete,0,HELOC,
Recheck Flood,Partial,0,Partial,1,HELOC,
Pre-Underwriting Checklist,completed,11,Partial,8,HELOC,Current gap in process.File clean-up in task driven workflow
Order HOI,completed,1,Partial,2,HELOC,
HOI Review,completed,13,Partial,8,HELOC,
Send Commitment Letter,completed,3,Partial,2,HELOC,
Underwrite,completed,4,Partial,8,HELOC,Initial Undewrite path. Subsequent and Adverse paths need to be completed
Title (Ownership Report),completed,6,Complete,0,HELOC,
Review Appraisal,completed,4,Partial,2,HELOC,Needs testing/fine tuning
Send Appraisal,completed,1,Partial,2,HELOC,Initial Send Complete. Needs subsequent appraisal logic
Review Appraisal Second Review,completed,2,Partial,3,HELOC,"Untested, recently developed. "
Review Flood Insurance,planned,0,Planned,8,HELOC,
Review PAR,completed,4,Partial,1,HELOC,1 trailing sub-task to autocomplete via user action
Clear to Close,planned,0,Planned,4,HELOC,
Master Property Insurance Review,completed,14,Partial,4,HELOC,"Need to refine for usability, conditions clearing, etc."
Deny Loan,planned,0,Planned,4,HELOC,
CounterOffer,planned,0,Planned,4,HELOC,
Scheduling,planned,0,Planned,3,HELOC,
Send Initial CD,planned,0,Planned,-,RESI,
Balance CD,planned,0,Planned,-,RESI,
Prepare Closing Package,planned,0,Planned,8,HELOC,
Confirm Funding Figures,planned,0,Planned,3,HELOC,
Approve Funding Figures,Partial,0,Partial,2,HELOC,
Fund Loan,Partial,0,Partial,2,HELOC,
Board Loan,planned,0,Planned,8,HELOC,
Run UCD,planned,0,Planned,,RESI,
Activate MERS,planned,0,Planned,,RESI,
Activate MI,planned,0,Planned,,RESI,
Credit Refresh,completed,2,,,RESI,
Fraud X Report,completed,6,Partial,2,HELOC,Needs testing/fine tuning
Deliver Note,planned,2,,3,HELOC,
Record Mortgage,planned,0,,6,HELOC,
Deliver Mortgage,planned,2,,3,HELOC,
Image Documents,planned,0,,8,HELOC,
eFolder Cleanup,planned,0,,8,HELOC,
Transfer to Cold Storage,planned,0,,3,HELOC,
Transfer to SaaS,planned,0,,-,RESI,
Initial Document Quality Assurance,completed,29,Complete,0,HELOC,
,,,Total Workhours,162,,